Thumb,Index,Middle,Ring,Pinky,X,Y,Label
12,95,95,93,65,464,-888,Ã
13,99,95,95,63,464,-864,Ã
13,98,94,95,58,480,-864,Ã
12,96,94,94,60,480,-888,Ã
12,93,94,91,51,472,-864,Ã
11,94,96,93,58,480,-880,Ã
13,98,95,95,67,456,-880,Ã
13,97,94,91,67,472,-888,Ã
12,96,95,93,58,488,-880,Ã
12,94,94,91,56,488,-880,Ã
13,94,95,92,60,480,-888,Ã
12,96,95,93,65,472,-880,Ã
12,99,94,93,65,504,-888,Ã
12,97,95,95,58,456,-880,Ã
13,98,94,94,60,480,-880,Ã
12,93,93,92,56,480,-888,Ã
12,94,94,93,56,464,-864,Ã
12,96,94,93,67,472,-888,Ã
13,96,94,93,67,488,-888,Ã
12,93,94,93,63,472,-880,Ã
11,92,93,91,51,488,-888,Ã
12,94,92,92,49,472,-864,Ã
12,95,94,93,63,464,-888,Ã
11,97,94,92,69,464,-888,Ã
12,98,93,91,63,464,-872,Ã
10,94,93,93,63,464,-864,Ã
12,94,92,92,54,480,-872,Ã
12,96,94,93,58,472,-888,Ã
12,96,94,94,72,504,-896,Ã
11,97,93,92,58,464,-872,Ã
12,94,92,92,63,472,-888,Ã
11,94,93,92,54,480,-880,Ã
12,92,93,92,60,488,-888,Ã
12,96,94,109,65,488,-880,Ã
12,99,94,95,69,480,-880,Ã
13,94,92,108,65,496,-864,Ã
13,94,93,96,65,480,-872,Ã
13,93,93,97,56,472,-880,Ã
14,94,93,119,63,472,-872,Ã
14,97,93,133,74,488,-880,Ã
14,94,92,98,65,472,-880,Ã
14,95,93,98,63,472,-864,Ã
14,92,92,96,58,488,-880,Ã
13,95,92,111,54,472,-864,Ã
13,96,93,114,67,472,-872,Ã
15,94,91,129,65,464,-872,Ã
12,96,93,97,63,472,-872,Ã
13,98,92,96,65,472,-880,Ã
14,93,91,94,58,480,-872,Ã
13,94,92,95,60,472,-880,Ã
13,96,93,96,65,472,-872,Ã
13,97,92,95,63,480,-880,Ã
13,96,92,93,65,464,-880,Ã
12,92,92,91,51,456,-856,Ã
14,93,94,93,60,480,-872,Ã
13,94,94,93,63,504,-864,Ã
13,94,94,102,60,512,-888,Ã
11,93,95,92,58,464,-888,Ã
13,93,94,91,60,504,-880,Ã
13,91,94,93,58,472,-888,Ã
15,94,95,370,78,488,-888,Ã
17,97,97,372,90,472,-904,Ã
18,97,97,372,101,440,-912,Ã
19,93,97,370,85,432,-936,Ã
24,94,99,367,85,480,-912,Ã
32,95,99,372,83,480,-888,Ã
34,97,98,372,90,472,-896,Ã
37,96,97,108,83,456,-928,Ã
34,97,95,111,76,488,-880,Ã
33,97,96,104,78,504,-880,Ã
70,32,105,103,69,328,-1152,Ñ
72,33,106,105,81,344,-1136,Ñ
71,33,106,104,81,352,-1128,Ñ
71,36,106,103,81,328,-1120,Ñ
70,33,106,104,74,336,-1120,Ñ
68,32,104,102,65,328,-1120,Ñ
70,31,105,103,69,328,-1112,Ñ
70,34,105,104,76,360,-1128,Ñ
70,34,105,106,72,360,-1144,Ñ
70,33,104,106,74,360,-1152,Ñ
69,34,104,117,65,312,-1096,Ñ
70,33,104,103,67,360,-1144,Ñ
69,31,104,100,69,336,-1112,Ñ
